,trip_id,start_time,stop_time,bike_id,trip_dur,from_station_id,from_station_name,to_station_id,to_station_name,usertype
0,63918850,2019-01-05 16:02:00,2019-01-05 17:35:00,70585,5624,1025.0,Penn Ave & N Fairmount St,1025.0,Penn Ave & N Fairmount St,Customer
1,63920576,2019-01-05 21:18:00,2019-01-05 21:22:00,70585,232,1025.0,Penn Ave & N Fairmount St,1026.0,Penn Ave & S Whitfield St,Customer
3,64076019,2019-01-15 14:09:00,2019-01-15 14:20:00,70147,705,1028.0,Penn Ave & Putnam St (Bakery Square),49371.0,E Liberty Blvd & Larimer Ave,Customer
4,64115144,2019-01-17 13:03:00,2019-01-17 13:05:00,70646,87,1050.0,Healthy Ride Hub,1061.0,33rd St and Penn Ave,Customer
5,64281721,2019-01-28 16:34:00,2019-01-28 17:27:00,70658,3201,1041.0,Fifth Ave & S Bouquet St,1066.0,N Homewood Ave & Finance St (Homewood Station),Subscriber
7,64316376,2019-01-30 17:52:00,2019-01-30 19:05:00,70206,4361,1047.0,S 22nd St & E Carson St,49771.0,Fifth Ave & Jumonville St,Customer
8,64316411,2019-01-30 17:59:00,2019-01-30 18:01:00,70192,129,1023.0,Liberty Ave & Baum Blvd,1023.0,Liberty Ave & Baum Blvd,Subscriber
9,64316422,2019-01-30 18:02:00,2019-01-30 18:10:00,70011,508,1023.0,Liberty Ave & Baum Blvd,1027.0,Shady Ave & Ellsworth Ave,Subscriber
10,64322057,2019-01-31 06:43:00,2019-01-31 06:46:00,70462,237,49611.0,24th St & Smallman St,1017.0,21st St & Penn Ave,Subscriber
11,64322137,2019-01-31 06:47:00,2019-01-31 06:58:00,70399,642,1017.0,21st St & Penn Ave,49651.0,Grant St & Strawberry Way,Subscriber
12,64322207,2019-01-31 06:51:00,2019-01-31 07:02:00,70367,678,1016.0,17th St & Penn Ave,1009.0,12th St & Penn Ave,Subscriber
13,64324075,2019-01-31 08:31:00,2019-01-31 08:39:00,70011,484,1027.0,Shady Ave & Ellsworth Ave,1023.0,Liberty Ave & Baum Blvd,Subscriber
14,64325766,2019-01-31 10:00:00,2019-01-31 10:01:00,70339,77,1050.0,Healthy Ride Hub,1061.0,33rd St and Penn Ave,Customer
15,64326241,2019-01-31 10:26:00,2019-01-31 10:33:00,70382,460,1061.0,33rd St and Penn Ave,1061.0,33rd St and Penn Ave,Subscriber
16,64326355,2019-01-31 10:33:00,2019-01-31 11:43:00,70477,4221,1009.0,12th St & Penn Ave,1009.0,12th St & Penn Ave,Subscriber
17,64326933,2019-01-31 11:04:00,2019-01-31 11:49:00,70206,2663,49771.0,Fifth Ave & Jumonville St,1001.0,Forbes Ave & Market Square,Subscriber
18,64327379,2019-01-31 11:26:00,2019-01-31 11:35:00,70323,558,1010.0,10th St & Penn Ave (David L. Lawrence Convention Center),1000.0,Liberty Ave & Stanwix St,Subscriber
19,64327618,2019-01-31 11:38:00,2019-01-31 11:52:00,70546,843,1023.0,Liberty Ave & Baum Blvd,1040.0,O'Hara St and University Place (Soldiers and Sailors Memorial),Subscriber
20,64328073,2019-01-31 12:00:00,2019-01-31 12:03:00,70598,219,1009.0,12th St & Penn Ave,1016.0,17th St & Penn Ave,Subscriber
21,64328952,2019-01-31 12:51:00,2019-01-31 12:57:00,70144,328,1016.0,17th St & Penn Ave,1009.0,12th St & Penn Ave,Subscriber
22,64329635,2019-01-31 13:36:00,2019-01-31 13:37:00,70398,76,1050.0,Healthy Ride Hub,1061.0,33rd St and Penn Ave,Customer
23,64329637,2019-01-31 13:36:00,2019-01-31 13:41:00,70315,285,49431.0,Penn Ave & Negley Ave,1024.0,S Negley Ave & Baum Blvd,Subscriber
24,64329701,2019-01-31 13:42:00,2019-01-31 14:00:00,70686,1060,1024.0,S Negley Ave & Baum Blvd,1041.0,Fifth Ave & S Bouquet St,Subscriber
25,64330111,2019-01-31 14:15:00,2019-01-31 14:35:00,70672,1159,1025.0,Penn Ave & N Fairmount St,1019.0,42nd St & Butler St,Subscriber
26,64330602,2019-01-31 15:06:00,2019-01-31 17:37:00,70371,9027,1061.0,33rd St and Penn Ave,1061.0,33rd St and Penn Ave,Customer
27,64330838,2019-01-31 15:37:00,2019-01-31 15:50:00,70548,771,49651.0,Grant St & Strawberry Way,49611.0,24th St & Smallman St,Subscriber
28,64330943,2019-01-31 15:54:00,2019-01-31 15:54:00,70258,30,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Customer
29,64330959,2019-01-31 15:55:00,2019-01-31 15:56:00,70000,50,1097.0,Tennyson Ave & Fifth Ave,1097.0,Tennyson Ave & Fifth Ave,Customer
30,64330981,2019-01-31 15:58:00,2019-01-31 15:58:00,70000,21,1097.0,Tennyson Ave & Fifth Ave,1097.0,Tennyson Ave & Fifth Ave,Customer
31,64330995,2019-01-31 15:59:00,2019-01-31 16:00:00,70000,30,1097.0,Tennyson Ave & Fifth Ave,1097.0,Tennyson Ave & Fifth Ave,Customer
32,64331022,2019-01-31 16:02:00,2019-01-31 16:14:00,70243,740,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Customer
34,64331251,2019-01-31 16:32:00,2019-01-31 16:39:00,70220,470,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Customer
35,64331346,2019-01-31 16:45:00,2019-01-31 16:45:00,70220,15,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Customer
